lace	dentelle
intimacy	intimité
hen	poule
hatch	trappe
din	vacarme
mankind	l'humanité
bedlam	maison de fous, asile
leisure	loisir
looters	pillards
caseload	nombre de cas, d'affaires
throng	une foule
tie	une cravate
headache	maux de tête
fleet	flotte
bedrock	socle
holdouts	réfractaires
glance	coup d'œil, aperçus
prominence	notoriété, importance
loophole	une faille
shredder	déchiqueteuse
regular folks	les gens ordinaires
ironmongery	quincaillerie
butcher	boucher
madmen	fous
cobblestone	pavé
strain	effort, pression
falsehood	mensonge, malhonnêteté
